country,region1,region2,continent,happiness_rank,happiness_score,economy,family,life_expectancy,freedom,govt_trust,generosity,dystopia_residual
France,Western Europe,N/A,Europe,24,6.592,1.324,1.472,1.045,0.436,0.183,0.111,2.021
Taiwan,Eastern Asia,N/A,Asia,25,6.446,1.368,1.43,0.914,0.351,0.097,0.242,2.044
Chile,South America,Latin America and the Caribbean,South America,26,6.444,1.159,1.369,0.92,0.357,0.056,0.187,2.396
Guatemala,Central America,Latin America and the Caribbean,North America,27,6.436,0.8,1.269,0.746,0.535,0.078,0.175,2.833
Saudi Arabia,Western Asia,N/A,Asia,28,6.375,1.403,1.357,0.795,0.439,0.132,0.08,2.169
Qatar,Western Asia,N/A,Asia,29,6.374,1.684,1.313,0.871,0.555,0.167,0.22,1.564
Spain,Southern Europe,N/A,Europe,30,6.354,1.286,1.484,1.062,0.362,0.079,0.153,1.928
Panama,Central America,Latin America and the Caribbean,North America,31,6.321,1.149,1.442,0.91,0.516,0.054,0.109,2.141
Brazil,South America,Latin America and the Caribbean,South America,32,6.3,1.004,1.439,0.802,0.39,0.086,0.099,2.48
Uruguay,South America,Latin America and the Caribbean,South America,33,6.293,1.124,1.465,0.891,0.523,0.15,0.127,2.013
Singapore,South-eastern Asia,N/A,Asia,34,6.262,1.572,1.463,1.141,0.556,0.453,0.271,0.806
El Salvador,Central America,Latin America and the Caribbean,North America,35,6.253,0.794,1.242,0.789,0.43,0.074,0.093,2.831
Italy,Southern Europe,N/A,Europe,36,6.223,1.294,1.488,1.039,0.231,0.03,0.158,1.983
Bahrain,Western Asia,N/A,Asia,37,6.199,1.362,1.368,0.871,0.536,0.11,0.255,1.697
Slovakia,Eastern Europe,N/A,Europe,38,6.198,1.246,1.504,0.881,0.334,0.014,0.121,2.098
Trinidad & Tobago,Caribbean,Latin America and the Caribbean,North America,39,6.192,1.231,1.477,0.713,0.489,0.016,0.185,2.081
Poland,Eastern Europe,N/A,Europe,40,6.182,1.206,1.438,0.884,0.483,0.05,0.117,2.004
Uzbekistan,Central Asia,N/A,Asia,41,6.174,0.745,1.529,0.756,0.631,0.24,0.322,1.951
Lithuania,Northern Europe,N/A,Europe,42,6.149,1.238,1.515,0.818,0.291,0.042,0.043,2.202
Colombia,South America,Latin America and the Caribbean,South America,43,6.125,0.985,1.41,0.841,0.47,0.034,0.099,2.286
Slovenia,Southern Europe,N/A,Europe,44,6.118,1.258,1.523,0.953,0.564,0.057,0.144,1.619
Nicaragua,Central America,Latin America and the Caribbean,North America,45,6.105,0.694,1.325,0.835,0.435,0.127,0.2,2.489
